name,email,phone,company,website,city,country_code,address,review_count,review_score,segment,source,niche,place_id,instagram,facebook,linkedin
Hotel Plaza San Francisco,hotel@plazasanfrancisco.cl,+56 2 2360 4530,Hotel Plaza San Francisco,http://www.plazasanfrancisco.cl/,Santiago,CL,,4524,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Plaza San Francisco,reservas@plazasanfrancisco.cl,+56 2 2360 4530,Hotel Plaza San Francisco,http://www.plazasanfrancisco.cl/,Santiago,CL,,4524,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
"Gatos de campo, tiernos y traviesos",,+56 9 9891 3632,"Gatos de campo, tiernos y traviesos",https://www.instagram.com/gatosdecampotiernosytraviesos,Santiago,CL,,303,4.8,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
HOTEL BLU BASCUÑAN,,+56 9 4775 2556,HOTEL BLU BASCUÑAN,https://www.webpay.cl/form-pay/284365,Santiago,CL,,213,3.7,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Mercure Santiago Centro,h8924-re@accor.com,+56 2 2595 6622,Hotel Mercure Santiago Centro,https://all.accor.com/hotel/8924/index.es.shtml,Santiago,CL,,2407,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Debaines Hotel Santiago,,+56 2 2381 5060,Debaines Hotel Santiago,http://debaines.com/,Santiago,CL,,99,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
HOTEL ASIA PACIFICO,hotel@asiapacifico.cl,+56 9 3425 7629,HOTEL ASIA PACIFICO,https://www.asiapacifico.cl/,Santiago,CL,,35,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Luciano K,reservas@lucianokhotel.com,+56 2 2620 0900,Hotel Luciano K,http://www.lucianokhotel.com/,Santiago,CL,,669,4.4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Luciano K,info@lucianokhotel.com,+56 2 2620 0900,Hotel Luciano K,http://www.lucianokhotel.com/,Santiago,CL,,669,4.4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Luciano K,reservas@lucianohotel.com,+56 2 2620 0900,Hotel Luciano K,http://www.lucianokhotel.com/,Santiago,CL,,669,4.4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Cumbres Lastarria,,+56 2 2496 9000,Hotel Cumbres Lastarria,http://www.cumbreslastarria.com/,Santiago,CL,,1384,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Santa Lucia,,+56 2 2639 8201,Hotel Santa Lucia,http://www.hotelsantalucia.cl/,Santiago,CL,,1592,3.8,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel HW Express,centraldereservas@hoteleshw.com,,Hotel HW Express,http://www.hoteleshw.com/,Santiago,CL,,82,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotelera EB,reservas@hoteleraeb.cl,+56 2 2688 0079,Hotelera EB,https://www.hoteleraeb.cl/,Santiago,CL,,0,0,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
GOROOM,,+56 9 3426 7126,GOROOM,https://www.goroom.cl/,Santiago,CL,,0,0,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Vegas,reservas@hotelvegas.net,+56 5626322514,Hotel Vegas,http://www.hotelvegassantiago.com/,Santiago,CL,,338,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Viajo A Chile,,+56 2 3210 2281,Viajo A Chile,http://www.viajoachile.com/,Santiago,CL,,0,0,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Nest Paris-Londres,,+56 9 6428 8130,Nest Paris-Londres,https://nestrentalapartments.com/properties/paris-londres/,Santiago,CL,,44,4.8,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Gran Palace,reservas@hotelgranpalace.cl,+56 2 2671 2551,Hotel Gran Palace,http://www.hotelgranpalace.cl/,Santiago,CL,,1679,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Gran Palace,eventos@hotelgranpalace.cl,+56 2 2671 2551,Hotel Gran Palace,http://www.hotelgranpalace.cl/,Santiago,CL,,1679,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hostal El Pino | Victoria,,+56 45 284 1105,Hostal El Pino | Victoria,http://hostalelpino.cl/contacto.html,"Victoria, Santiago",CL,,0,0,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Apart Hotel HW (Compañía),centraldereservas@hoteleshw.com,+56 9 6870 0326,Apart Hotel HW (Compañía),http://www.hoteleshw.com/,Santiago,CL,,0,0,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel San Francisco 22,,+56 2 2638 5581,Hotel San Francisco 22,http://www.sanfrancisco22.cl/,Santiago,CL,,965,4.4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Intimo Hotel Los Heroes,contacto@hotelesintimo.cl,+56 2 2620 5200,Intimo Hotel Los Heroes,https://intimohoteles.cl/,Santiago,CL,,10,3.7,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
VRSuite,,+56 9 8361 4265,VRSuite,https://www.vrsuite.cl//,Santiago,CL,,93,3.8,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Gran Santiago Apartments,,+56 9 3927 9730,Gran Santiago Apartments,https://www.alojamientosantiago.com/,Santiago,CL,,109,4.5,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Almacruz Hotel y Centro de Convenciones,turismo@vinasantacruz.cl,+56 2 2470 7400,Almacruz Hotel y Centro de Convenciones,http://www.almacruz.cl/,Santiago,CL,,3487,4.3,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Almacruz Hotel y Centro de Convenciones,reservasmakemake@almacruz.cl,+56 2 2470 7400,Almacruz Hotel y Centro de Convenciones,http://www.almacruz.cl/,Santiago,CL,,3487,4.3,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
centro city spa,,+56 9 7496 2786,centro city spa,https://centrocity.cl/,Santiago,CL,,0,0,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Departamento Amoblado Silva - Santiago Centro,,+56 9 9547 5469,Departamento Amoblado Silva - Santiago Centro,http://www.departamentoamobladosilva.cl/,Santiago,CL,,1,1,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Casa Zañartu,,+56 9 4432 8263,Hotel Casa Zañartu,https://direct-book.com/properties/HotelCasaZanartuDirect?locale=es&_gads_gcid=731761819&_gads_gclabel=4ZV2CPGWq7MBEJuZ99wC&_gha_gcid=100233201&_gha_phid=efd99531-dbca-4af5-b97a-7080f77437dd&_src=DemandPlus&abw=3&booking_source=cpc&campaign_id=14790890783&cdow=Friday&country=CL&currency=USD&device=desktop&gad_source=1&gclid=Cj0KCQiAoae5BhCNARIsADVLzZeyxL4R11qOF0VyqgwP8yUtJFiTF_dDBaTGn7-prtVJWoWEyplKIooaAsWgEALw_wcB&los=1&meta=Google&tsd=default&utm_source=GoogleHotelAds&trackPage=yes&selected=1&items[0][adults]=2&items[0][children]=0&items[0][infants]=0&checkInDate=2024-11-05&checkOutDate=2024-11-06,Santiago,CL,,656,4.3,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Motel El Duende,,+56 2 2597 0320,Motel El Duende,http://www.hotelelduende.cl/,Santiago,CL,,379,3.4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
A&G Apart Hotel,contacto@aygaparthotel.cl,+56 9 8291 4213,A&G Apart Hotel,http://www.aygaparthotel.cl/,Santiago,CL,,9,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Fundador,reservas@hfundador.com,+56 2 3210 1525,Hotel Fundador,https://fundador.cl/,Santiago,CL,,2395,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Fundador,reservas1@hoas.cl,+56 2 3210 1525,Hotel Fundador,https://fundador.cl/,Santiago,CL,,2395,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Fundador,eventos@hfundador.com,+56 2 3210 1525,Hotel Fundador,https://fundador.cl/,Santiago,CL,,2395,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
RQ Santiago.,reservas@rq.cl,+56 2 2795 3030,RQ Santiago.,http://www.rq.cl/santiago/,Santiago,CL,,860,4.3,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Panamericano,contacto@hotelpanamericano.cl,+56 2 2432 3300,Hotel Panamericano,https://www.panamericano.cl/,Santiago,CL,,2657,4.3,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-scl@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,centraldereservas@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,comercial@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,grupos@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,eventos@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,cobranzas@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recursos.humanos@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,servicioalcliente@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-arica@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-iqq@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-sanpedro@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-cjc1@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-altoelloa@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-anf1@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-cpo@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-laserena@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-providencia@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-aeropuerto@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-pudahuel@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-vps@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-vdelmar@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-rcg@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-curico@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-tlx@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-chillan@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-ccp1@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-lomasverdes@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-lsq@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-zco@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-zal@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-osorno@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-pmc@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-castro@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-gxq@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-puq@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-anf2@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-calamaexpress@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-lsc@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-pastene@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-talcaexpress@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Diego de Almagro Santiago,recepcion-temucoexpress@dahoteles.com,+56 2 3273 3200,Hotel Diego de Almagro Santiago,https://www.dahoteles.com/?idioma=es&pagina=da-santiago-centro#hotel,Santiago,CL,,1511,4,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
BHB Hotel Boutique,reservas@bhb.cl,+56 9 3949 0776,BHB Hotel Boutique,https://www.bhb.cl/,Santiago,CL,,88,4.9,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Che Lagarto Hostel Santiago,reservas@chelagarto.com,,Che Lagarto Hostel Santiago,https://www.chelagarto.com/pt/component/chelagarto/hostels/9-hostel-santiago.html,Santiago,CL,,820,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Che Lagarto Hostel Santiago,administrativo@campeloadvogados.com,,Che Lagarto Hostel Santiago,https://www.chelagarto.com/pt/component/chelagarto/hostels/9-hostel-santiago.html,Santiago,CL,,820,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Maktvb Brasil - Hostal Boutique,ventas@maktvb.com,+56 9 3241 3751,Maktvb Brasil - Hostal Boutique,http://www.maktvb.com/,Santiago,CL,,356,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Maktvb Brasil - Hostal Boutique,hola@maktubhostal.com,+56 9 3241 3751,Maktvb Brasil - Hostal Boutique,http://www.maktvb.com/,Santiago,CL,,356,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Secretos de la Naturaleza - Boutique Naturista,secretosdelanaturaleza@yahoo.com,+56 2 2671 8106,Secretos de la Naturaleza - Boutique Naturista,http://www.secretosdelanaturaleza.cl/,Santiago,CL,,25,3.8,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Plaza de Armas Hostel,,+56 9 6203 3884,Plaza de Armas Hostel,http://www.plazadearmashostel.com/,Santiago,CL,,535,3.9,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Motel Santa Elena (ex Centro Hotel),,+56 9 9982 6024,Motel Santa Elena (ex Centro Hotel),http://www.motelsantaelena.cl/,Santiago,CL,,227,4.3,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Matildas Hotel Boutique,reservas@matildashotel.com,+56 9 6320 3628,Matildas Hotel Boutique,http://www.matildashotel.com/,Santiago,CL,,332,4.6,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Boutique Urbano en el Centro de Santiago,,,Boutique Urbano en el Centro de Santiago,https://www.booking.com/hotel/cl/boutique-urbano-en-el-centro-de-santiago.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15340404&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15340404_grp-0_gendate-20260503,Santiago,CL,,0,0,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Cívico la moneda,admincivico@civicochile.cl,+56 9 8294 3708,Cívico la moneda,https://civicochile.cl/civico/,Santiago,CL,,163,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Cívico la moneda,relacionespublicas@cuerovaca.com,+56 9 8294 3708,Cívico la moneda,https://civicochile.cl/civico/,Santiago,CL,,163,4.2,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
Hotel Boutique Casa Conde,recepcion@casaconde.cl,+56 9 5222 1303,Hotel Boutique Casa Conde,https://casaconde.cl/,Santiago,CL,,88,4.8,chile_santiago_hotel_apify_2026_05_12,apify_google_maps,tourism,,,,
