name,email,phone,company,website,city,country_code,address,segment,source,niche,place_id
Chile Lindo Hostel,info@chilelindohostel.cl,,Chile Lindo Hostel,,Santiago,CL,Moneda 2505,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4150312897
Ventana Sur Hostel,info@ventanasurhostel.com,+56226344350,Ventana Sur Hostel,https://www.ventanasurhostel.com/,Santiago,CL,Claudio Arrau 340,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4168009792
Quinchamalí Hostel,,+569869212233,Quinchamalí Hostel,https://www.quinchamalihostel.cl/,Santiago,CL,Quichamalí 3136,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4190559874
Hotel Londres,,,Hotel Londres,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4213118891
tia flaca,,,tia flaca,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4224806690
hotel boutique tremo parque forestal,,,hotel boutique tremo parque forestal,,Santiago,CL,Ismael Valdés Vergara 740,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4226770703
Ecohostel,,,Ecohostel,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4228931525
Santa rosa 194,,,Santa rosa 194,,Santiago,CL,Eleuterio Ramírez 194,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4239566496
Hostel Dominica,,,Hostel Dominica,,Santiago,CL,Dominica 24,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4350165809
caronila's houae,,,caronila's houae,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4366374896
Hotel Torremayor,,,Hotel Torremayor,,Santiago,CL,Avenida Ricardo Lyon,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4437168329
Ecohostal,,,Ecohostal,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4438464691
Gran Palace,,,Gran Palace,,Santiago,CL,Morandé,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4447801811
Hotel Zeus,,,Hotel Zeus,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4458100059
Renta Suite Menorca,,,Renta Suite Menorca,,Providencia,CL,Andrés de Fuenzalida 69,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4471914996
Ladera,,,Ladera,,Santiago,CL,Los Araucanos 2021,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4473800156
Hotel Boutique Casa D’agostino,email@email.com,,Hotel Boutique Casa D’agostino,https://www.casadagostino.com/home/,Providencia,CL,Avenida Pedro de Valdivia Norte 0653,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4474307263
Hotel Boutique Casa D’agostino,ontacto@casadagostino.com,,Hotel Boutique Casa D’agostino,https://www.casadagostino.com/home/,Providencia,CL,Avenida Pedro de Valdivia Norte 0653,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4474307263
Casa de Campo de Carabineros,clubcampo.lareina@carabineros.cl,,Casa de Campo de Carabineros,,La Reina,CL,Álvaro Casanova 311,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4488337992
Casa Roble,,,Casa Roble,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4524792393
"Asilo de ancianos ""Nuevo amanecer""",,,"Asilo de ancianos ""Nuevo amanecer""",,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4557987389
Corea Hostal,coreahostal@gmail.com,+56999736650,Corea Hostal,,Santiago,CL,Antonia López de Bello 169,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4572303189
Arbolitos,,,Arbolitos,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4572487555
Continental,,,Continental,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4572487556
Internacional,,,Internacional,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4572487557
Villa Alpina,,,Villa Alpina,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4572487558
La Casa Roja,,+56226950600,La Casa Roja,,Santiago,CL,Agustinas 2113,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4581873690
RQ Hotel Dacarlo,,,RQ Hotel Dacarlo,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4621189035
Departamento de la Espita,,,Departamento de la Espita,,Santiago,CL,"Mapocho 1522, con San Martín",chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4643269390
Departamentos amoblados urbanos providencia,,+56229698913,Departamentos amoblados urbanos providencia,http://www.aparturbano.cl,Providencia,CL,Avenida Nueva Providencia 1372,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4648872691
Knutsen Housing & Hostal,info@knutsen.cl,,Knutsen Housing & Hostal,http://knutsen.cl,Santiago,CL,Ricardo Matte Pérez 0156,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4746067724
CLH Suites Santiago,,+56 2 2638 3568,CLH Suites Santiago,,Santiago,CL,San Antonio 60,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4785891922
Irreal Hostal,,(2)26873666,Irreal Hostal,,Santiago,CL,Catedral 2225,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4793208321
Bellas Artes Hostel,,+56227169432,Bellas Artes Hostel,,Santiago,CL,Antonia López de Bello,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4808517621
Cupido,,,Cupido,,Santiago,CL,Avenida Eyzaguirre 27,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4808517624
Hostel Casa Mosaico,,,Hostel Casa Mosaico,,Santiago,CL,Loreto 109,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4808517821
Lastrarria Santiago Suítes Apartments,,,Lastrarria Santiago Suítes Apartments,,Santiago,CL,Calle Padre Luis de Valdivia 339,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4844898222
Lastarria,,,Lastarria,,Santiago,CL,Pasaje Lastarria 70 104,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4872124924
QENK,,,QENK,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4872130821
Luciano K,,,Luciano K,,Santiago,CL,Merced 84,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4919896014
Motel Sol & Luna,,,Motel Sol & Luna,,Santiago,CL,Grajales 2191,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/4984101665
Super Carnes,,,Super Carnes,,Santiago,CL,Marín 145,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5007314522
apart arturo prat,,,apart arturo prat,,Santiago,CL,Arturo Prat 324,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5067664021
Hotel Santa Lucia,,,Hotel Santa Lucia,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5111094232
Casa Zañartu Hotel,,,Casa Zañartu Hotel,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5111145924
Hotel España,,,Hotel España,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5116163422
Walking Santiago Boutique Hostel,,,Walking Santiago Boutique Hostel,,Santiago,CL,Almirante Barroso 457,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5118516922
Casona de Cajamarca,,,Casona de Cajamarca,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5125476121
Casa Árbol,,0941790704,Casa Árbol,,Santiago,CL,Avenida Santos Dumont 551,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5244558422
Panamericano,contacto@hotelpanamericano.cl,+541152173860,Panamericano,http://www.hotelpanamericano.cl,Santiago,CL,Teatinos 320,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5247229969
Hostal Yungay,,,Hostal Yungay,https://www.hostalyungay.com/,Santiago,CL,Almirante Barroso 547,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5265801846
Plaza Paris Amistar,,,Plaza Paris Amistar,https://www.amistar.cl/,Santiago,CL,Serrano 62,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5328115016
Nosso ap,,,Nosso ap,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5352740823
Don Santiago,,,Don Santiago,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5390648524
Departamento Full,,,Departamento Full,https://www.airbnb.cl/rooms/21608263,Santiago,CL,Transit,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5493457021
Apart Hotel,,,Apart Hotel,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5531425923
Hotel NovaPark,,,Hotel NovaPark,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5538614987
Bed and Breakfast Brothers,,,Bed and Breakfast Brothers,,Santiago,CL,Pasaje Lucrecia Valdes De Barros 391,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5542015021
Santiago Furnished Apartments,info@santiagobackpackers.com,+56 2 26648451,Santiago Furnished Apartments,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5620638500
Trizano,,,Trizano,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5709594821
San Ignacio Suite Departamentos Amoblados,,,San Ignacio Suite Departamentos Amoblados,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5752066122
Los Cuernos Del Toro,,,Los Cuernos Del Toro,,San José De Maipo,CL,Avenida Vista Hermosa 471,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5766065012
Sahara Inn,,,Sahara Inn,,Santiago,CL,Corte Suprema 168,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5904037514
Apartamento calle Ebro,,,Apartamento calle Ebro,,Las Condes,CL,Ebro 2799,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/5939235287
La Calma De Rita,,,La Calma De Rita,,Santiago,CL,Camino a Santa Rita 2672,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/6041555933
Alojamiento Domeyko Ceer,,,Alojamiento Domeyko Ceer,,Santiago,CL,Domeyko 1755,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/6103024065
Mestizio Hostal,,,Mestizio Hostal,,Santiago,CL,,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/6109694867
SyC Apartments Carmen,sycapartments@gmail.com,+56998352555,SyC Apartments Carmen,https://www.booking.com/Pulse-pjSdMb,Santiago,CL,Carmen 237,chile_santiago_hotel_osm_2026_05_12,osm_overpass,tourism,node/6235794586
